Date,Open,High,Low,Close,Adj Close,Volume
2012-01-23,131.509995,132.250000,130.979996,131.610001,117.647041,129295800
2012-01-24,130.800003,131.500000,130.600006,131.460007,117.512962,103083300
2012-01-25,131.259995,132.869995,130.750000,132.559998,118.496269,198613200
2012-01-26,133.149994,133.399994,131.360001,131.880005,117.888420,184880500
2012-01-27,131.240005,132.050003,131.149994,131.820007,117.834770,135259100
2012-01-30,130.509995,131.440002,130.059998,131.369995,117.432487,147311800
2012-01-31,132.020004,132.179993,130.679993,131.320007,117.387810,157212000
2012-02-01,132.289993,133.139999,132.130005,132.470001,118.415810,166234500
2012-02-02,132.729996,133.020004,132.210007,132.679993,118.603500,113090400
2012-02-03,134.000000,134.619995,133.770004,134.539993,120.266167,160598500
2012-02-06,133.979996,134.509995,133.830002,134.449997,120.185760,107694500
2012-02-07,134.169998,135.020004,133.639999,134.789993,120.489670,135528100
2012-02-08,134.860001,135.220001,134.309998,135.190002,120.847214,139361400
2012-02-09,135.410004,135.589996,134.559998,135.360001,120.999168,148602900
2012-02-10,134.160004,134.470001,133.839996,134.360001,120.105301,167907500
2012-02-13,135.320007,135.520004,134.740005,135.360001,120.999168,115841900
2012-02-14,135.000000,135.270004,134.250000,135.190002,120.847214,165329500
2012-02-15,135.630005,135.830002,134.289993,134.559998,120.284050,195195100
2012-02-16,134.570007,136.169998,134.330002,136.050003,121.616005,186567800
2012-02-17,136.520004,136.630005,135.960007,136.410004,121.937798,129869400
2012-02-21,136.729996,137.050003,136.050003,136.470001,121.991455,134042300
2012-02-22,136.259995,136.550003,135.789993,136.029999,121.598145,124455300
2012-02-23,135.960007,136.729996,135.500000,136.630005,122.134438,137704300
2012-02-24,136.929993,137.199997,136.630005,136.929993,122.402596,105539100
2012-02-27,136.020004,137.529999,135.800003,137.160004,122.608215,145728900
2012-02-28,137.199997,137.720001,136.929993,137.559998,122.965790,129355900
2012-02-29,137.759995,138.190002,136.539993,137.020004,122.483078,185934700
2012-03-01,137.309998,137.990005,136.929993,137.729996,123.117752,145023500
2012-03-02,137.639999,137.820007,137.000000,137.309998,122.742332,120638300
2012-03-05,137.100006,137.199997,136.279999,136.750000,122.241730,140765000
2012-03-06,135.350006,135.429993,134.360001,134.750000,120.453880,202129900
2012-03-07,135.059998,135.910004,134.929993,135.690002,121.294182,143692200
2012-03-08,136.520004,137.320007,136.240005,137.039993,122.500954,116968900
2012-03-09,137.300003,137.929993,137.130005,137.570007,122.974686,122836800
2012-03-12,137.550003,137.759995,137.089996,137.580002,122.983681,104003500
2012-03-13,138.320007,140.130005,138.089996,140.059998,125.200562,184090500
2012-03-14,140.100006,140.449997,139.479996,139.910004,125.066460,145163600
2012-03-15,140.119995,140.779999,139.759995,140.720001,125.790520,165118500
2012-03-16,140.360001,140.479996,140.000000,140.300003,125.964668,152893500
2012-03-19,140.210007,141.279999,140.110001,140.850006,126.458519,125291100
2012-03-20,140.050003,140.610001,139.639999,140.440002,126.090462,121729700
2012-03-21,140.520004,140.649994,139.919998,140.210007,125.883911,122388400
2012-03-22,139.179993,139.550003,138.740005,139.199997,124.977089,135216700
2012-03-23,139.320007,139.809998,138.550003,139.649994,125.381119,120521000
2012-03-26,140.649994,141.610001,140.600006,141.610001,127.140816,120164000
2012-03-27,141.740005,141.830002,141.080002,141.169998,126.745804,119868500
2012-03-28,141.100006,141.320007,139.639999,140.470001,126.117348,148562100
2012-03-29,139.639999,140.490005,139.089996,140.229996,125.901855,164963700
2012-03-30,140.919998,141.050003,140.050003,140.809998,126.422585,135486800
2012-04-02,140.639999,142.210007,140.360001,141.839996,127.347328,151741100
2012-04-03,141.639999,141.880005,140.429993,141.259995,126.826584,155806700
2012-04-04,140.220001,140.339996,139.339996,139.860001,125.569679,146896000
2012-04-05,139.380005,140.199997,139.259995,139.789993,125.506821,137439400
2012-04-09,138.029999,139.839996,137.839996,138.220001,124.097229,127555900
2012-04-10,137.949997,138.339996,135.759995,135.899994,122.014282,235360300
2012-04-11,137.289993,137.539993,136.750000,137.000000,123.001915,154133000
2012-04-12,137.130005,138.899994,137.029999,138.789993,124.608955,154321500
2012-04-13,138.470001,138.820007,137.009995,137.139999,123.127579,169246700
2012-04-16,137.839996,138.039993,136.580002,137.050003,123.046806,147825300
2012-04-17,137.839996,139.360001,137.699997,139.080002,124.869377,147877600
2012-04-18,138.460007,139.080002,138.380005,138.610001,124.447380,123884200
2012-04-19,138.630005,139.149994,137.070007,137.720001,123.648300,198666700
2012-04-20,138.330002,138.830002,137.869995,137.949997,123.854805,143199600
2012-04-23,136.539993,136.910004,135.940002,136.789993,122.813377,171844900
2012-04-24,136.910004,137.660004,136.800003,137.309998,123.280212,137484200
2012-04-25,138.649994,139.250000,138.529999,139.190002,124.968117,150252200
2012-04-26,138.889999,140.320007,138.809998,140.160004,125.839020,136291600
2012-04-27,140.580002,140.789993,139.800003,140.389999,126.045502,130725000
2012-04-30,140.110001,140.210007,139.490005,139.869995,125.578629,115092200
2012-05-01,139.789993,141.660004,139.630005,140.740005,126.359711,138832200
2012-05-02,139.919998,140.460007,139.460007,140.320007,125.982689,121081000
2012-05-03,140.339996,140.449997,138.990005,139.250000,125.021996,143759700
2012-05-04,138.520004,139.300003,136.919998,137.000000,123.001915,193927300
2012-05-07,136.509995,137.559998,136.460007,137.100006,123.091667,127765900
2012-05-08,136.279999,136.770004,134.919998,136.550003,122.597878,213377700
2012-05-09,135.100006,136.610001,134.490005,135.740005,121.870636,220752500
2012-05-10,136.679993,136.850006,135.710007,136.020004,122.122047,150600000
2012-05-11,135.169998,136.869995,135.110001,135.610001,121.753899,153032400
2012-05-14,134.309998,135.610001,133.910004,134.110001,120.407166,163910000
2012-05-15,134.020004,134.809998,133.130005,133.339996,119.715836,207629300
2012-05-16,133.940002,134.550003,132.800003,132.830002,119.257957,207265500
2012-05-17,132.860001,133.020004,130.789993,130.860001,117.489250,247992900
2012-05-18,131.369995,131.600006,129.550003,129.740005,116.483704,319615900
2012-05-21,130.160004,132.020004,129.949997,131.970001,118.485832,177861100
2012-05-22,132.309998,133.229996,131.339996,132.199997,118.692329,197531200
2012-05-23,131.250000,132.460007,129.990005,132.270004,118.755165,204958400
2012-05-24,132.630005,132.839996,131.419998,132.529999,118.988609,167357600
2012-05-25,132.479996,132.850006,131.779999,132.100006,118.602585,135465600
2012-05-29,133.160004,133.929993,131.169998,133.699997,120.039078,152883500
2012-05-30,132.559998,133.690002,131.490005,131.759995,118.297287,162370400
2012-05-31,131.710007,132.449997,130.339996,131.470001,118.036919,196186000
2012-06-01,129.410004,131.500000,128.160004,128.160004,115.065117,253240900
2012-06-04,128.389999,128.740005,127.139999,128.100006,115.011269,202545800
2012-06-05,127.849998,129.259995,127.779999,129.070007,115.882149,164149400
2012-06-06,129.970001,132.029999,129.929993,131.970001,118.485832,184202800
2012-06-07,133.470001,133.529999,131.779999,132.050003,118.557640,184772700
2012-06-08,131.710007,133.130005,131.289993,133.100006,119.500374,143915400
2012-06-11,134.169998,134.250000,131.279999,131.410004,117.983055,169756100
2012-06-12,131.789993,133.009995,131.160004,132.919998,119.338745,181931800
2012-06-13,132.529999,133.360001,131.619995,132.070007,118.575645,172223900
2012-06-14,132.339996,134.000000,131.979996,133.470001,119.832573,230615500
2012-06-15,133.380005,134.259995,133.100006,134.139999,121.058136,169444500
2012-06-18,133.580002,134.729996,133.279999,134.399994,121.292793,131360900
2012-06-19,135.080002,136.250000,134.369995,135.699997,122.465996,137382600
2012-06-20,135.710007,136.100006,134.270004,135.479996,122.267448,206451800
2012-06-21,135.639999,135.779999,132.330002,132.440002,119.523918,205272200
2012-06-22,133.130005,133.710007,132.619995,133.460007,120.444458,130029200
2012-06-25,132.050003,132.100006,130.850006,131.320007,118.513168,146375700
2012-06-26,131.699997,132.380005,130.929993,131.979996,119.108780,141634000
2012-06-27,132.419998,133.429993,131.970001,133.169998,120.182755,108088000
2012-06-28,132.289993,132.990005,131.279999,132.789993,119.839798,169242100
2012-06-29,135.199997,136.270004,134.850006,136.100006,122.826996,212250900
2012-07-02,136.479996,136.649994,135.520004,136.509995,123.196999,129524500
2012-07-03,136.479996,137.509995,136.339996,137.410004,124.009254,80450000
2012-07-05,136.899994,137.800003,136.289993,136.789993,123.449699,126177500
2012-07-06,135.470001,135.770004,134.850006,135.490005,122.276497,151192100
